loss: 5.7713, minimizing loss: 194.0237, maximizing loss: 188.2523
loss: 5.4221, minimizing loss: 204.6288, maximizing loss: 199.2066
loss: -13.1021, minimizing loss: 200.4863, maximizing loss: 213.5885
loss: -7.9826, minimizing loss: 216.7055, maximizing loss: 224.6881
loss: 6.5138, minimizing loss: 243.5728, maximizing loss: 237.0590
loss: 4.0217, minimizing loss: 254.6730, maximizing loss: 250.6513
loss: 2.2125, minimizing loss: 260.0539, maximizing loss: 257.8415
loss: -0.4305, minimizing loss: 262.0180, maximizing loss: 262.4486
loss: -6.0179, minimizing loss: 262.0065, maximizing loss: 268.0244
loss: 17.4838, minimizing loss: 279.6137, maximizing loss: 262.1299
loss: -22.0764, minimizing loss: 254.8940, maximizing loss: 276.9704
loss: 9.6522, minimizing loss: 276.6459, maximizing loss: 266.9937
loss: -0.4689, minimizing loss: 272.3710, maximizing loss: 272.8399
loss: 29.2699, minimizing loss: 284.8300, maximizing loss: 255.5601
loss: -9.8885, minimizing loss: 251.8914, maximizing loss: 261.7799
loss: 1.4666, minimizing loss: 248.0430, maximizing loss: 246.5764
loss: -2.7756, minimizing loss: 238.0224, maximizing loss: 240.7979
loss: -19.0440, minimizing loss: 223.5146, maximizing loss: 242.5586
loss: -6.2334, minimizing loss: 232.7185, maximizing loss: 238.9519
loss: 12.2512, minimizing loss: 244.8332, maximizing loss: 232.5820
loss: -4.2683, minimizing loss: 236.2521, maximizing loss: 240.5204
loss: -2.2212, minimizing loss: 236.7159, maximizing loss: 238.9370
loss: 15.5343, minimizing loss: 246.3025, maximizing loss: 230.7682
loss: -4.2842, minimizing loss: 231.0908, maximizing loss: 235.3750
loss: -6.2748, minimizing loss: 226.4695, maximizing loss: 232.7444
loss: -8.3082, minimizing loss: 224.9872, maximizing loss: 233.2954
loss: -11.2294, minimizing loss: 225.1767, maximizing loss: 236.4061
loss: -3.5772, minimizing loss: 234.3318, maximizing loss: 237.9090
loss: -11.9560, minimizing loss: 235.8828, maximizing loss: 247.8388
loss: -8.6750, minimizing loss: 247.5247, maximizing loss: 256.1998
loss: -18.7699, minimizing loss: 256.7714, maximizing loss: 275.5413
loss: 6.9306, minimizing loss: 287.0499, maximizing loss: 280.1193
loss: 11.8992, minimizing loss: 303.6794, maximizing loss: 291.7803
loss: 18.5585, minimizing loss: 313.7778, maximizing loss: 295.2192
loss: 19.3476, minimizing loss: 312.9945, maximizing loss: 293.6469
loss: -3.1286, minimizing loss: 292.7080, maximizing loss: 295.8367
loss: -3.2575, minimizing loss: 286.5941, maximizing loss: 289.8516
loss: 11.5854, minimizing loss: 286.3626, maximizing loss: 274.7772
loss: -32.1476, minimizing loss: 257.5381, maximizing loss: 289.6857
loss: 2.1491, minimizing loss: 276.9017, maximizing loss: 274.7526
loss: -5.7593, minimizing loss: 274.5364, maximizing loss: 280.2957
loss: 20.8152, minimizing loss: 290.6334, maximizing loss: 269.8182
loss: -8.5746, minimizing loss: 270.9637, maximizing loss: 279.5383
loss: -18.0777, minimizing loss: 266.4972, maximizing loss: 284.5749
loss: -21.9471, minimizing loss: 268.8945, maximizing loss: 290.8416
loss: -9.7765, minimizing loss: 285.9518, maximizing loss: 295.7283
loss: -7.3013, minimizing loss: 300.8337, maximizing loss: 308.1350
loss: 3.3290, minimizing loss: 320.8312, maximizing loss: 317.5022
loss: -24.9142, minimizing loss: 319.8161, maximizing loss: 344.7303
loss: 12.2686, minimizing loss: 357.9834, maximizing loss: 345.7148
loss: -14.0187, minimizing loss: 360.6464, maximizing loss: 374.6651
loss: -4.7881, minimizing loss: 384.2834, maximizing loss: 389.0715
loss: -31.0757, minimizing loss: 391.2549, maximizing loss: 422.3307
loss: -3.8706, minimizing loss: 432.7091, maximizing loss: 436.5797
loss: 11.6044, minimizing loss: 471.7251, maximizing loss: 460.1207
loss: -18.7520, minimizing loss: 481.2780, maximizing loss: 500.0300
loss: -40.3306, minimizing loss: 500.4740, maximizing loss: 540.8046
loss: 3.2179, minimizing loss: 568.2694, maximizing loss: 565.0515
loss: -31.6826, minimizing loss: 597.4880, maximizing loss: 629.1706
loss: 42.4284, minimizing loss: 691.5062, maximizing loss: 649.0778
loss: -35.1619, minimizing loss: 685.1255, maximizing loss: 720.2874
loss: 1.8762, minimizing loss: 748.0414, maximizing loss: 746.1652
loss: 15.7977, minimizing loss: 795.0913, maximizing loss: 779.2936
loss: -3.9728, minimizing loss: 813.7062, maximizing loss: 817.6790
loss: 19.4476, minimizing loss: 853.7587, maximizing loss: 834.3110
loss: -50.6360, minimizing loss: 832.3237, maximizing loss: 882.9597
loss: -14.4349, minimizing loss: 891.7278, maximizing loss: 906.1627
loss: -21.5375, minimizing loss: 936.8393, maximizing loss: 958.3768
loss: 40.1428, minimizing loss: 1028.2891, maximizing loss: 988.1462
loss: -23.7361, minimizing loss: 1021.7295, maximizing loss: 1045.4656
loss: 24.7965, minimizing loss: 1081.0300, maximizing loss: 1056.2335
loss: 78.0457, minimizing loss: 1127.0500, maximizing loss: 1049.0044
loss: -47.1898, minimizing loss: 1022.9162, maximizing loss: 1070.1060
loss: -90.4415, minimizing loss: 1004.5356, maximizing loss: 1094.9771
loss: 46.5653, minimizing loss: 1116.4681, maximizing loss: 1069.9028
loss: -69.3748, minimizing loss: 1076.1195, maximizing loss: 1145.4943
loss: 63.1313, minimizing loss: 1188.8551, maximizing loss: 1125.7238
loss: -6.0071, minimizing loss: 1165.9800, maximizing loss: 1171.9871
loss: 68.2826, minimizing loss: 1215.2549, maximizing loss: 1146.9723
loss: -18.3806, minimizing loss: 1148.5847, maximizing loss: 1166.9653
loss: 95.7882, minimizing loss: 1193.0757, maximizing loss: 1097.2875
loss: -3.5884, minimizing loss: 1086.6378, maximizing loss: 1090.2262
loss: 13.6553, minimizing loss: 1049.1764, maximizing loss: 1035.5211
loss: 57.7192, minimizing loss: 1025.1709, maximizing loss: 967.4517
loss: -71.1574, minimizing loss: 903.3572, maximizing loss: 974.5146
loss: 49.9520, minimizing loss: 936.0021, maximizing loss: 886.0501
loss: -11.9949, minimizing loss: 865.9423, maximizing loss: 877.9371
loss: -29.0689, minimizing loss: 828.5964, maximizing loss: 857.6653
loss: -5.8860, minimizing loss: 819.1370, maximizing loss: 825.0230
loss: 19.5906, minimizing loss: 818.1890, maximizing loss: 798.5984
loss: 23.9125, minimizing loss: 802.2309, maximizing loss: 778.3184
loss: 11.1934, minimizing loss: 769.7943, maximizing loss: 758.6009
loss: 17.9975, minimizing loss: 748.9661, maximizing loss: 730.9686
loss: -24.2249, minimizing loss: 702.4689, maximizing loss: 726.6938
loss: -6.6118, minimizing loss: 692.6673, maximizing loss: 699.2791
loss: -3.2355, minimizing loss: 681.9030, maximizing loss: 685.1384
loss: -9.1478, minimizing loss: 665.6083, maximizing loss: 674.7561
loss: 36.2338, minimizing loss: 680.4481, maximizing loss: 644.2143
loss: 55.0305, minimizing loss: 671.2182, maximizing loss: 616.1877
loss: 4.5076, minimizing loss: 617.3767, maximizing loss: 612.8691
loss: 6.1602, minimizing loss: 595.5593, maximizing loss: 589.3992
loss: -82.2976, minimizing loss: 529.3793, maximizing loss: 611.6769
loss: 15.7864, minimizing loss: 573.6735, maximizing loss: 557.8871
