bad one, it was lambda 0.5
loss: 0.5131, minimizing loss: 1.0357, maximizing loss: 1.0451
loss: 0.5399, minimizing loss: 1.0875, maximizing loss: 1.0953
loss: 0.4283, minimizing loss: 0.8655, maximizing loss: 0.8745
loss: 0.5322, minimizing loss: 1.0710, maximizing loss: 1.0777
loss: 0.5120, minimizing loss: 1.0311, maximizing loss: 1.0382
loss: 0.5058, minimizing loss: 1.0214, maximizing loss: 1.0311
loss: 0.5052, minimizing loss: 1.0219, maximizing loss: 1.0333
loss: 0.5109, minimizing loss: 1.0260, maximizing loss: 1.0302
loss: 0.5009, minimizing loss: 1.0102, maximizing loss: 1.0186
loss: 0.5479, minimizing loss: 1.1027, maximizing loss: 1.1096
loss: 0.4686, minimizing loss: 0.9470, maximizing loss: 0.9568
loss: 0.5035, minimizing loss: 1.0175, maximizing loss: 1.0280
loss: 0.4653, minimizing loss: 0.9444, maximizing loss: 0.9583
loss: 0.4965, minimizing loss: 1.0073, maximizing loss: 1.0215
loss: 0.4439, minimizing loss: 0.8943, maximizing loss: 0.9009
loss: 0.5068, minimizing loss: 1.0233, maximizing loss: 1.0330
loss: 0.5286, minimizing loss: 1.0684, maximizing loss: 1.0797
loss: 0.5020, minimizing loss: 1.0187, maximizing loss: 1.0334
loss: 0.4875, minimizing loss: 0.9868, maximizing loss: 0.9986
loss: 0.5292, minimizing loss: 1.0649, maximizing loss: 1.0714
loss: 0.4236, minimizing loss: 0.8553, maximizing loss: 0.8633
loss: 0.5333, minimizing loss: 1.0755, maximizing loss: 1.0845
loss: 0.5333, minimizing loss: 1.0750, maximizing loss: 1.0833
loss: 0.5219, minimizing loss: 1.0529, maximizing loss: 1.0620
loss: 0.4548, minimizing loss: 0.9216, maximizing loss: 0.9336
loss: 0.4087, minimizing loss: 0.8282, maximizing loss: 0.8389
loss: 0.4323, minimizing loss: 0.8764, maximizing loss: 0.8883
loss: 0.4242, minimizing loss: 0.8618, maximizing loss: 0.8753
loss: 0.4963, minimizing loss: 1.0032, maximizing loss: 1.0137
loss: 0.5309, minimizing loss: 1.0717, maximizing loss: 1.0816
loss: 0.3968, minimizing loss: 0.8040, maximizing loss: 0.8144
loss: 0.5336, minimizing loss: 1.0765, maximizing loss: 1.0859
loss: 0.5228, minimizing loss: 1.0545, maximizing loss: 1.0635
loss: 0.5869, minimizing loss: 1.1824, maximizing loss: 1.1911
loss: 0.5632, minimizing loss: 1.1384, maximizing loss: 1.1503
loss: 0.5153, minimizing loss: 1.0392, maximizing loss: 1.0479
loss: 0.4340, minimizing loss: 0.8776, maximizing loss: 0.8872
loss: 0.5578, minimizing loss: 1.1258, maximizing loss: 1.1359
loss: 0.5249, minimizing loss: 1.0642, maximizing loss: 1.0786
loss: 0.4420, minimizing loss: 0.8974, maximizing loss: 0.9107
