2:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0 999   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
2:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0 999   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
2:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0 999   0   0   0   0   0   0   0|
2:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0 999   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
2:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0 999   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
2:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0 999|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
3:    0 999   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
3:    0   0   0   0   0   0   0   0   0|   0   0   0   0 999   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
3:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0 999   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
3:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0 999   0|
3:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0 999   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
3:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0| 999   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
3:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0 999   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
3:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0 550   0 350|   0   0   0   0   0   0 549   0 347|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
3:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0 550   0 350|   0   0   0   0   0   0 549   0 347|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
