Epoch: 179, train ls: 0.006683641656612356, eval ls: 0.026922548189759254
Epoch: 180, train ls: 0.006647779125099381, eval ls: 0.026968863358100257
Epoch: 181, train ls: 0.00665312799004217, eval ls: 0.0269845982392629
Epoch: 182, train ls: 0.006522905050466458, eval ls: 0.02702388490239779
Epoch: 183, train ls: 0.006678347025687496, eval ls: 0.026989823207259178
Epoch: 184, train ls: 0.006626292038708926, eval ls: 0.026923126603166262
Epoch: 185, train ls: 0.006497950293123722, eval ls: 0.02697925828397274
Epoch: 186, train ls: 0.006475740609069665, eval ls: 0.02704773619771004
Epoch: 187, train ls: 0.0066506317195792995, eval ls: 0.027001053219040234
Epoch: 188, train ls: 0.006402424676343799, eval ls: 0.026856528719266255
Epoch: 189, train ls: 0.006349090626463294, eval ls: 0.027067361027002336
Epoch: 190, train ls: 0.006245996570214629, eval ls: 0.026978660374879837
Epoch: 191, train ls: 0.006318439729511738, eval ls: 0.0270470899840196
Epoch: 192, train ls: 0.006342003323758642, eval ls: 0.02706332008043925
Epoch: 193, train ls: 0.0063611732174952825, eval ls: 0.02712584634621938
Epoch: 194, train ls: 0.006282768196736773, eval ls: 0.027007397512594858
Epoch: 195, train ls: 0.00606431543516616, eval ls: 0.02709506725271543
Epoch: 196, train ls: 0.006174522064005335, eval ls: 0.02696977270146211
Epoch: 197, train ls: 0.006023605773225427, eval ls: 0.027063280095656714
Epoch: 198, train ls: 0.0061880608554929495, eval ls: 0.027045307929317156
Epoch: 199, train ls: 0.006203084920222561, eval ls: 0.027021357541282973
