loss: -230.8113, minimizing loss: 3464.6753, maximizing loss: 3695.4866
loss: -93.2119, minimizing loss: 3630.0298, maximizing loss: 3723.2417
loss: -301.6838, minimizing loss: 3645.8950, maximizing loss: 3947.5789
loss: 147.5020, minimizing loss: 4070.8569, maximizing loss: 3923.3550
loss: -425.5022, minimizing loss: 3933.8103, maximizing loss: 4359.3125
loss: 232.4370, minimizing loss: 4512.5698, maximizing loss: 4280.1328
loss: -35.9502, minimizing loss: 4550.6147, maximizing loss: 4586.5649
loss: 1.8770, minimizing loss: 4730.6523, maximizing loss: 4728.7754
loss: -235.4810, minimizing loss: 4772.7808, maximizing loss: 5008.2617
loss: 121.8418, minimizing loss: 5164.0303, maximizing loss: 5042.1885
loss: -372.9331, minimizing loss: 5079.6382, maximizing loss: 5452.5713
loss: 279.3774, minimizing loss: 5680.4551, maximizing loss: 5401.0776
loss: -257.8306, minimizing loss: 5572.6064, maximizing loss: 5830.4370
loss: -33.4341, minimizing loss: 5920.4922, maximizing loss: 5953.9263
loss: 283.4712, minimizing loss: 6305.1650, maximizing loss: 6021.6938
loss: 257.7080, minimizing loss: 6389.5723, maximizing loss: 6131.8643
loss: 49.9541, minimizing loss: 6267.3213, maximizing loss: 6217.3672
loss: -23.2363, minimizing loss: 6210.3804, maximizing loss: 6233.6167
loss: -448.8633, minimizing loss: 5973.8633, maximizing loss: 6422.7266
loss: 353.4038, minimizing loss: 6514.3516, maximizing loss: 6160.9478
loss: -262.9106, minimizing loss: 6219.9033, maximizing loss: 6482.8140
loss: -748.4604, minimizing loss: 6073.1909, maximizing loss: 6821.6514
loss: -92.4111, minimizing loss: 6732.7378, maximizing loss: 6825.1489
loss: -8.3149, minimizing loss: 7121.3110, maximizing loss: 7129.6260
loss: -274.4019, minimizing loss: 7320.9331, maximizing loss: 7595.3350
loss: -350.2612, minimizing loss: 7692.6382, maximizing loss: 8042.8994
loss: -397.4038, minimizing loss: 8180.5571, maximizing loss: 8577.9609
loss: -161.7090, minimizing loss: 8949.6074, maximizing loss: 9111.3164
loss: 84.4434, minimizing loss: 9764.3711, maximizing loss: 9679.9277
loss: -531.6309, minimizing loss: 10080.9375, maximizing loss: 10612.5684
loss: -605.9961, minimizing loss: 10850.5479, maximizing loss: 11456.5439
loss: -953.6719, minimizing loss: 11711.2686, maximizing loss: 12664.9404
